09:27:04:965 [ALWAYS]	GUDE Logging Started
09:27:04:965 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
09:27:04:965 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
09:27:04:966 [ERROR]	Initialize resume cache pointer failure
09:27:04:966 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
09:27:04:967 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
09:27:06:659 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
09:27:06:659 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
09:27:06:659 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
09:27:06:659 [ERROR]	Initialize resume cache pointer failure
09:27:06:659 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
09:27:06:659 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
